date,rice_price,sugar_price,wheat_price
2023-08-01,215.985,153.375,136.86
2023-09-01,217.35500000000002,164.83499999999998,136.685
2023-10-01,217.35500000000002,148.25,135.435
2023-11-01,217.35500000000002,137.60500000000002,138.415
2023-12-01,213.385,141.54500000000002,139.095
2024-01-01,216.99,146.39999999999998,138.095
2024-02-01,216.99,144.78,138.06
2024-03-01,216.99,142.27499999999998,135.875
2024-04-01,220.44,142.66,119.91499999999999
2024-05-01,213.635,143.075,89.435
2024-06-01,204.51999999999998,142.5,82.44
2024-07-01,197.69,146.225,91.56
2024-08-01,200.375,145.63,86.25
2024-09-01,203.405,141.07,82.975
2024-10-01,199.285,135.155,84.56
2024-11-01,191.35500000000002,131.615,85.08500000000001
2024-12-01,189.35,137.425,84.795
2025-01-01,189.35,143.85,84.445
2025-02-01,189.35,156.025,84.25
2025-03-01,189.35,167.115,84.15
2025-04-01,189.35,167.26,77.535
2025-05-01,189.35,172.28,72.18
2025-06-01,191.905,177.695,72.985
2025-07-01,194.535,183.175,71.445
2025-08-01,194.535,175.92000000000002,76.985
2025-09-01,201.735,177.55,95.33500000000001
2025-10-01,201.735,182.295,92.955
2025-11-01,201.5,181.0,93.5
2025-12-01,201.75,169.6,92.95
2026-01-01,203.0,155.5,95.5
2026-02-01,204.0,154.5,95.0
2026-03-01,204.0,151.5,91.5
2026-04-01,204.0,149.5,95.5
